,compound,date,negative,neutral,positive,tn,tweet,user
30,0.34,Sun Mar 25 13:26:57 +0000 2018,0.0,0.876,0.124,30,"Ohio Gov. John Kasich says incoming national security adviser John Bolton should understand that ""America ""cannot b… https://t.co/KDokXGRpna",@CNN
31,-0.2263,Sun Mar 25 13:26:14 +0000 2018,0.083,0.917,0.0,31,"Ohio Gov. John Kasich on the March For Our Lives protests: “If they do not bring about change, I think people shoul… https://t.co/OILRSi8KRs",@CNN
32,-0.765,Sun Mar 25 13:21:56 +0000 2018,0.258,0.742,0.0,32,"“He is either lying or he is completely delusional,” Sen. Tim Kaine says of President Trump blaming Democrats for f… https://t.co/6r895RQPep",@CNN
33,0.5859,Sun Mar 25 13:11:48 +0000 2018,0.0,0.769,0.231,33,Sen. Tim Kaine questions if President Trump’s new pick for national security adviser can get a security clearance:… https://t.co/RH2ORJTpW6,@CNN
34,0.0,Sun Mar 25 13:08:39 +0000 2018,0.0,1.0,0.0,34,"""The activism of these young people is actually changing the equation ... they're not going away,"" Sen. Tim Kaine s… https://t.co/LoTcR2u12c",@CNN
35,0.0,Sun Mar 25 13:00:50 +0000 2018,0.0,1.0,0.0,35,An animatronic T .rex went up in flames at this dinosaur park in Colorado. The park says the blaze was caused by el… https://t.co/3Xs9dMEKY5,@CNN
36,0.0,Sun Mar 25 12:30:03 +0000 2018,0.0,1.0,0.0,36,"""Black Panther"" is the the most-tweeted about movie of all time, Twitter says https://t.co/Ffh5z9Chys https://t.co/2hhcrpczIX",@CNN
37,-0.0772,Sun Mar 25 12:00:05 +0000 2018,0.121,0.769,0.109,37,A Tennessee man who was wrongfully imprisoned for 31 years and initially given $75 to start over has been awarded $… https://t.co/Xxitou66Jv,@CNN
38,-0.4404,Sun Mar 25 11:30:11 +0000 2018,0.139,0.861,0.0,38,Bank of America Merrill Lynch doctored paperwork on 16 million orders to fool institutional clients into thinking s… https://t.co/EW6uyUvuDd,@CNN
39,-0.2732,Sun Mar 25 11:00:04 +0000 2018,0.139,0.861,0.0,39,Republican Rep. Ryan Costello will drop his bid for reelection in Pennsylvania https://t.co/2tYW2a6mrd https://t.co/8XKF9V45dE,@CNN
40,0.2023,Sun Mar 25 10:30:14 +0000 2018,0.0,0.816,0.184,40,"Researchers finally solve mystery of ""alien"" skeleton https://t.co/Ymts1gegBE https://t.co/kBJpwYKGyC",@CNN
41,0.0772,Sun Mar 25 10:00:03 +0000 2018,0.0,0.909,0.091,41,"In Sacramento and in Austin, black people just want this https://t.co/QY2mnt7vH1 | via @CNNOpinion https://t.co/NcbVhzuzYE",@CNN
42,-0.1027,Sun Mar 25 09:30:09 +0000 2018,0.136,0.748,0.117,42,"In a new memoir, Hillary Clinton's former campaign communications director says the email scandal was a like ""a box… https://t.co/2qEKrRaoiP",@CNN
43,0.0,Sun Mar 25 09:00:04 +0000 2018,0.0,1.0,0.0,43,"This case shows why dog breeders need to be regulated, writes Randi Kaye for @CNNOpinion https://t.co/gqfOi4Kid4 https://t.co/VTIzke2a8c",@CNN
44,-0.2732,Sun Mar 25 08:30:11 +0000 2018,0.141,0.758,0.101,44,China and the United States are on the brink of a trade war — and Apple chief Tim Cook is calling on the countries… https://t.co/emYdvRdY0y,@CNN
45,0.0,Sun Mar 25 08:00:12 +0000 2018,0.0,1.0,0.0,45,I downloaded 14 years of my Facebook data and here's what happened https://t.co/CatT9piwSb https://t.co/iYlZLl8bkv,@CNN
46,-0.6486,Sun Mar 25 07:30:11 +0000 2018,0.223,0.777,0.0,46,The lawyer President Trump wants to represent him has been dead for 32 years https://t.co/ZYSNTnMfcR https://t.co/zZ4nvZlPkT,@CNN
47,0.0,Sun Mar 25 07:00:21 +0000 2018,0.0,1.0,0.0,47,Take a look at this week in politics https://t.co/kcprtfGNys https://t.co/l9sn1TwkeS,@CNN
48,0.0,Sun Mar 25 06:30:09 +0000 2018,0.117,0.765,0.117,48,"""I need allies."" Fresh off a staggering loss for Republicans in Pennsylvania's deep-red 18th district, President Tr… https://t.co/Kx2Fm2p7mM",@CNN
49,0.0,Sun Mar 25 06:00:14 +0000 2018,0.0,1.0,0.0,49,Tesla to slow shipments in Norway due to unsafe delivery trucks https://t.co/9JSC3KFih1 https://t.co/8ZXKLq1XNU,@CNN
50,-0.4939,Sun Mar 25 05:30:03 +0000 2018,0.314,0.686,0.0,50,Australian beaches pose dangers to newcomers https://t.co/wv6ILLo3Lg https://t.co/esYlq0aT9m,@CNN
51,-0.296,Sun Mar 25 05:00:10 +0000 2018,0.136,0.864,0.0,51,Here's what you may have missed at the March for Our Lives rallies https://t.co/ja0geb22RQ https://t.co/aLQN2TqGJB,@CNN
52,0.25,Sun Mar 25 04:30:20 +0000 2018,0.0,0.905,0.095,52,"""I have a dream that enough is enough. And that this should be a gun-free world. Period."" - Martin Luther King Jr.'… https://t.co/QNGeEGkvMM",@CNN
53,0.0,Sun Mar 25 04:00:37 +0000 2018,0.0,1.0,0.0,53,"Samantha Fuentes, who was wounded in the mass shooting at Marjory Stoneman Douglas High School, asks the crowd to j… https://t.co/dRFdWpk0QZ",@CNN
54,-0.7579,Sun Mar 25 03:00:17 +0000 2018,0.394,0.606,0.0,54,These grandmothers in Texas have had enough of gun violence https://t.co/GrjeoktRf5 https://t.co/fZtTBJKT6V,@CNN
55,0.3566,Sun Mar 25 02:30:14 +0000 2018,0.0,0.84,0.16,55,"George Clooney, Paul McCartney and more celebrities join March for Our Lives https://t.co/WabPC0OUEk https://t.co/EemR2GmHLv",@CNN
56,-0.7579,Sun Mar 25 02:16:16 +0000 2018,0.394,0.606,0.0,56,"Gun violence can happen to anybody, says singer Jennifer Hudson https://t.co/OADln4miDu https://t.co/sD7QJN9rUR",@CNN
57,0.0,Sun Mar 25 02:00:06 +0000 2018,0.0,1.0,0.0,57,"While others marched for their lives, these people marched for their guns https://t.co/GiGWjFDzG3 https://t.co/3TXIISsdi8",@CNN
58,0.4754,Sun Mar 25 01:45:07 +0000 2018,0.0,0.808,0.192,58,Some of the most powerful signs from the March for Our Lives https://t.co/DhbwVpMOlZ https://t.co/meFpCoHKht,@CNN
59,0.0,Sun Mar 25 01:30:17 +0000 2018,0.0,1.0,0.0,59,World Trade Center glows orange for the March for Our Lives rallies https://t.co/xO7kt2NboP https://t.co/MFbYZhnw73,@CNN
60,0.0,Sun Mar 25 01:15:03 +0000 2018,0.0,1.0,0.0,60,"""Keep at it. You're leading us forward. Nothing can stand in the way of millions of voices calling for change."" For… https://t.co/Amnd5zbDYL",@CNN
61,0.0,Sun Mar 25 01:01:36 +0000 2018,0.0,1.0,0.0,61,"11-year-old Naomi Wadler says she speaks at Washington DC rally to ""represent the African-American girls whose stor… https://t.co/WUwqmanlpW",@CNN
62,-0.3862,Sun Mar 25 00:45:34 +0000 2018,0.302,0.44,0.258,62,"""One of my best friends was killed in gun violence right around here, so it's important to me,"" says Paul McCartney… https://t.co/CZfsYBXMNL",@CNN
63,-0.3412,Sun Mar 25 00:30:37 +0000 2018,0.099,0.901,0.0,63,"""We cannot make America safe until we arm our teachers. ... with pencils, paper and the money they need. ... to sup… https://t.co/WLEW14rwG3",@CNN
64,0.0,Sun Mar 25 00:23:59 +0000 2018,0.0,1.0,0.0,64,(📷: Atilgan Ozdil/Anadolu Agency/Getty Images),@CNN
65,-0.3862,Sun Mar 25 00:15:06 +0000 2018,0.302,0.44,0.258,65,"""One of my best friends was killed in gun violence right around here, so it's important to me."" Former Beatle Paul… https://t.co/E03daVJ6L2",@CNN
66,-0.5267,Sun Mar 25 00:13:59 +0000 2018,0.299,0.556,0.146,66,"Gun violence victim Jennifer Hudson on the Parkland student campaigners: ""I love so much that they're using their e… https://t.co/xDLiKm1KaY",@CNN
67,-0.5267,Sat Mar 24 23:49:43 +0000 2018,0.299,0.556,0.146,67,"Gun violence victim Jennifer Hudson on the Parkland student campaigners: ""I love so much that they're using their e… https://t.co/hKkoALRNAL",@CNN
68,-0.2883,Sat Mar 24 23:47:41 +0000 2018,0.118,0.813,0.068,68,"""It's not easy to keep seeing. What is it gonna be next week? Next month?"" an emotional Jennifer Hudson asks… https://t.co/YhNWMRaGfG",@CNN
