compound_sent,date,news_outlet,tweet,seconds ago
0.0,Mon Mar 26 04:09:04 +0000 2018,@CNN,"RT @CNN: Skiers and snowboarders were met with orange-tinted snow in Sochi, Russia, this weekend. https://t.co/ElBoFzVt4A https://t.co/MPmp…",61230
-0.34,Mon Mar 26 04:09:04 +0000 2018,@CNN,"RT @CNN: Remington, the venerable gun maker, has filed for bankruptcy https://t.co/IMYTJCN7Lj https://t.co/lPb4pDFRAP",61230
0.0,Mon Mar 26 04:09:04 +0000 2018,@CNN,@trac123 @CNN She's an American. She has as much a right to be here and to be heard as you or anyone else does.,61230
0.6249,Mon Mar 26 04:09:04 +0000 2018,@nytimes,"RT @nytimes: Floating between California and Hawaii, the ""Great Pacific Garbage Patch"" is up to 16 times bigger than previously thought and…",61230
0.3036,Mon Mar 26 04:09:03 +0000 2018,@CBSNews,"RT @CBSNews: In his Palm Sunday address, Pope Francis encourages youth to ""shout"" and not allow older generations to silence them after stu…",61231
0.0,Mon Mar 26 04:09:03 +0000 2018,@nytimes,RT @JamesOKeefeIII: Mashup of @Project_Veritas doorstopping @nytimes and Channel 4 doorstopping @CamAnalytica. https://t.co/TOzURDW7Az,61231
0.0,Mon Mar 26 04:09:02 +0000 2018,@FoxNews,@FoxNews  https://t.co/3whse47OXi,61232
0.0,Mon Mar 26 04:09:01 +0000 2018,@CNN,RT @RealCandaceO: Anderson Cooper really spent 60 minutes with a porn star discussing whether or not she had consensual sex 15 years ago an…,61233
0.0,Mon Mar 26 04:09:01 +0000 2018,@CNN,@CNN @CNNOpinion  https://t.co/Im0MxCL4ng,61233
-0.296,Mon Mar 26 04:09:01 +0000 2018,@FoxNews,"@KelseyFryer1 @FoxNews Yep, that would be your Prez ... a big ol’ loser",61233
0.0,Mon Mar 26 04:09:01 +0000 2018,@BBCWorld,RT @BBCWorld: A @Qantas airliner makes history completing the first non-stop flight between Australia and the UK https://t.co/nKhWNcrZKK,61233
-0.34,Mon Mar 26 04:09:01 +0000 2018,@nytimes,RT @nytimes: Video: These were the Las Vegas gunman's final movements in the days before he opened fire from his hotel suite https://t.co/r…,61233
-0.3875,Mon Mar 26 04:09:00 +0000 2018,@CNN,RT @CNN: Stormy Daniels' interview holds a mirror up to Trump and the picture isn't pretty | Michael D'Antonio writes for @CNNOpinion https…,61234
0.5719,Mon Mar 26 04:09:00 +0000 2018,@CNN,"RT @vidyamishra943: Honorable India is a country where even today the #para_teachers are forced to commit #suicide, did Gandhiji dream of b…",61234
0.296,Mon Mar 26 04:08:58 +0000 2018,@FoxNews,@FoxNews @kimguilfoyle @AmbJohnBolton @NextRevFNC Yeah lets put a guy in that wanted to invade Iraq.,61236
0.0,Mon Mar 26 04:08:58 +0000 2018,@CNN,@beekiiiiii @buddy_faro @CNN You are the one with excuses and a closed mind,61236
0.0,Mon Mar 26 04:08:57 +0000 2018,@FoxNews,@FoxNews @DevinNunes REPLACE NUNES,61237
-0.296,Mon Mar 26 04:08:56 +0000 2018,@CBSNews,@60Minutes @CBSNews Pinche vieja no tiene vergüenza,61238
0.3612,Mon Mar 26 04:08:56 +0000 2018,@CNN,"RT @TheDailyEdge: Rick Santorum's Greatest Hits:

Gay soldiers cause problems because showers

Gay marriage will lead to bestiality

Aborti…",61238
0.0,Mon Mar 26 04:08:54 +0000 2018,@FoxNews,@RalphJo00780353 @FoxNews You know nothing about how congess works if you believe what you just said.,61240
0.0,Mon Mar 26 04:08:54 +0000 2018,@CNN,@CarticulusMedia @RealCandaceO @VetApologist @CNN The issue is credibility - for which the score is: SD-ZERO!,61240
-0.4939,Mon Mar 26 04:08:53 +0000 2018,@nytimes,@nytimes We are screwed. ☹️,61241
0.0,Mon Mar 26 04:08:52 +0000 2018,@CNN,RT @DeborahTCompton: @60Minutes @CNN did you notice her eyes before you interviewed her? https://t.co/wAMxpL2jgg,61242
